paperID,paper title,publish years,authors
114730584,an efficient approach for assessing hyperparameter importance,2014-01-01,frank hutter;holger h hoos;kevin leytonbrown
117952040,social media journalism and the public,2013-05-13,steve schifferes
118481696,making k means even faster,2010-01-01,greg hamerly
120692785,robust unsupervised feature selection,2013-08-03,mingjie qian;chengxiang zhai
128329261,computational disaster management,2013-08-03,pascal van hentenryck
131378802,composite objective mirror descent,2010-01-01,john c duchi;shai shalevshwartz;yoram singer;ambuj tewari
132828864,clustering based k anonymity,2012-05-29,xianmang he;huahui chen;yefang chen;yihong dong;peng wang;zhenhua huang
133182883,depth recovery using an adaptive color guided auto regressive model,2012-10-07,jingyu yang;xinchen ye;kun li;chunping hou
133251416,multi kernel gaussian processes,2011-07-16,arman melkumyan;fabio ramos
133394268,data science and machine learning at scale,2011-09-05,neel sundaresan
134985385,modular community detection in networks,2011-07-16,wenye li;dale schuurmans
136235603,fast and accurate influence maximization on large networks with pruned monte carlo simulations,2014-07-27,naoto ohsaka;takuya akiba;yuichi yoshida;kenichi kawarabayashi
136983338,learning for deep language understanding,2011-07-16,smaranda muresan
138476454,circulant binary embedding,2014-01-01,felix x yu;sanjiv kumar;yunchao gong;shihfu chang
139420056,the mash project,2011-09-05,francois fleuret;philip abbet;charles dubout;leonidas lefakis
141352744,zero shot learning via visual abstraction,2014-09-06,stanislaw antol;c lawrence zitnick;devi parikh
142463596,risk minimization probability elicitation and cost sensitive svms,2010-06-21,hamed masnadishirazi;nuno vasconcelos
143806433,feature selection for transfer learning,2011-09-05,selen uguroglu;jaime g carbonell
146125889,bayes optimal multilabel classification via probabilistic classifier chains,2010-01-01,weiwei cheng;eyke h llermeier;krzysztof dembczynski;krzysztof dembczynski
146395692,describing clothing by semantic attributes,2012-10-07,huizhong chen;andrew c gallagher;bernd girod
153210175,bioinformatics contributions to data mining,2010-07-12,isabelle bichindaritz
154472438,multimodal learning with deep boltzmann machines,2014-01-01,nitish srivastava;ruslan salakhutdinov
156852397,sempala interactive sparql query processing on hadoop,2014-10-19,alexander schatzle;martin przyjacielzablocki;antony neu;georg lausen
157251712,multi assignment clustering for boolean data,2012-01-01,mario frank;andreas p streich;david a basin;joachim m buhmann
159595522,streaming hierarchical video segmentation,2012-10-07,chenliang xu;caiming xiong;jason j corso
160238578,stroke width transform,2010-01-01,boris epshtein;eyal ofek;yonathan wexler
161114242,exploiting the circulant structure of tracking by detection with kernels,2012-10-07,joao f henriques;rui caseiro;pedro martins;jorge batista
161751758,learning a set of directions,2013-01-01,wouter m koolen;jiazhong nie;manfred k warmuth
163401298,feature selection in high dimensional classification,2013-01-01,mladen kolar;han liu
166429404,person re identification using kernel based metric learning methods,2014-09-06,fei xiong;mengran gou;octavia i camps;mario sznaier
168460524,recursive bilateral filtering,2012-10-07,qingxiong yang
169520950,client server web applications widgets,2013-05-13,vincent balat
170472577,bayesian face revisited a joint formulation,2012-10-07,dong chen;xudong cao;liwei wang;fang wen;jian sun
170967611,fast image tagging,2013-01-01,minmin chen;alice x zheng;kilian q weinberger
174104394,online graph based tracking,2014-09-06,hyeonseob nam;seunghoon hong;bohyung han
178058951,trust mechanisms for online systems,2011-07-16,jens witkowski
186937751,classifier ensemble recommendation,2012-10-07,pyry matikainen;rahul sukthankar;martial hebert
190007845,patchmatchgraph building a graph of dense patch correspondences for label transfer,2012-10-07,stephen gould;yuhang zhang
192074925,team activity recognition in sports,2012-10-07,cem direkoǧlu;noel e o connor
193661306,replication for linked data,2012-11-11,laurens rietveld
194198717,dependency parsers for persian,2012-12-01,mojgan seraji;beata megyesi;joakim nivre
196214544,generating text with recurrent neural networks,2011-01-01,ilya sutskever;james martens;geoffrey e hinton
199097577,distributed k means and k median clustering on general communication topologies,2013-01-01,mariaflorina balcan;steven ehrlich;yingyu liang
199559790,security and privacy of data in a cloud,2013-08-30,sushil jajodia
202444872,the linked data platform ldp,2013-05-13,arnaud j le hors;steve speicher
203656765,conic multi task classification,2014-09-15,cong li;michael georgiopoulos;georgios c anagnostopoulos
204268067,neural codes for image retrieval,2014-09-06,artem babenko;artem babenko;anton viktorovich slesarev;alexander chigorin;victor s lempitsky
204612701,joint cascade face detection and alignment,2014-09-06,dong chen;shaoqing ren;yichen wei;xudong cao;jian sun
207344062,hand waving away scale,2014-09-06,christopher c w ham;simon lucey;surya p n singh
207557899,gaussian processes multiple instance learning,2010-01-01,minyoung kim;fernando de la torre
207664590,on clustering graph streams,2010-12-01,charu c aggarwal;yuchen zhao;philip s yu
209424029,dense semantic correspondence where every pixel is a classifier,2015-12-01,hilton bristow;jack valmadre;simon lucey
210657420,discovering object classes from activities,2014-09-06,abhilash srikantha;abhilash srikantha;juergen gall
217817341,from think like a vertex to think like a graph,2013-11-01,yuanyuan tian;andrey balmin;severin andreas corsten;shirish tatikonda;john mcpherson
219040644,unsupervised learning of visual representations using videos,2015-12-01,xiaolong wang;abhinav gupta
226250005,on sampling focal length values to solve the absolute pose problem,2014-09-06,torsten sattler;chris sweeney;marc pollefeys
242449877,a 3d scene registration method via covariance descriptors and an evolutionary stable strategy game theory solver,2015-12-01,pol cirujeda;yashin dicente cid;xavier mateo;xavier binefa
245913453,it takes heart to win what makes the heart powerful,2010-01-01,philip a wahr;joseph m metzger;kerry s mcdonald;todd j herron
261873710,geodesic object proposals,2014-09-06,philipp krahenbuhl;vladlen koltun
280920822,building on deep learning,2013-07-15,marc pickett
281061080,a multi stage approach to curve extraction,2014-09-06,yuliang guo;naman kumar;maruthi narayanan;benjamin b kimia
288657196,to follow or not to follow a feature evaluation,2013-05-13,yanan zhu;nazli goharian
297461772,large scale multi view spectral clustering via bipartite graph,2015-01-25,yeqing li;feiping nie;heng huang;junzhou huang
299440670,variational inference with normalizing flows,2015-01-01,danilo jimenez rezende;shakir mohamed
300217873,in search of art,2014-09-06,elliot j crowley;andrew zisserman
310586462,perceptually inspired layout aware losses for image segmentation,2014-09-06,anton osokin;pushmeet kohli
318042436,learning temporal embeddings for complex video analysis,2015-12-01,vignesh ramanathan;kevin tang;greg mori;li feifei
340337472,learning submodular functions,2012-09-24,mariaflorina balcan;nicholas j a harvey
341540352,natural temporal difference learning,2014-07-27,william dabney;philip s thomas
343636949,unsupervised visual representation learning by context prediction,2015-12-01,carl doersch;abhinav gupta;alexei a efros
343811051,learning low rank representations with classwise block diagonal structure for robust face recognition,2014-07-27,yong li;jing liu;zechao li;yangmuzi zhang;hanqing lu;songde ma
345900524,convolutional channel features,2015-12-01,bin yang;junjie yan;zhen lei;stan z li
410850256,mllib machine learning in apache spark,2016-01-01,xiangrui meng;joseph k bradley;burak yavuz;evan r sparks;shivaram venkataraman;davies liu;jeremy freeman;d b tsai;manish amde;sean owen;doris xin;reynold s xin;michael j franklin;reza bosagh zadeh;matei zaharia;ameet talwalkar
415742285,humanoid robots and spoken dialog systems for brief health interventions,2014-09-24,saminda abeyruwan;ramesh baral;ugan yasavur;christine l lisetti;ubbo visser
432572086,correcting for duplicate scene structure in sparse 3d reconstruction,2014-09-06,jared heinly;enrique dunn;jan michael frahm
437896048,rotation invariant co occurrence among adjacent lbps,2012-11-05,ryusuke nosaka;chendra hadi suryanto;kazuhiro fukui
564250221,forecasting uncertainty in electricity demand,2015-01-01,tri kurniawan wijaya;mathieu sinn;bei chen
571574196,deterministic independent component analysis,2015-01-01,ruitong huang;andras gyorgy;csaba szepesv ri
572355794,the extreme value machine,2018-03-01,ethan m rudd;lalit p jain;walter j scheirer;terrance e boult
581810680,sign language recognition using convolutional neural networks,2014-09-06,lionel pigou;sander dieleman;pieterjan kindermans;benjamin schrauwen
582055897,learning multiple tasks with deep relationship networks,2015-01-01,mingsheng long;jianmin wang
582134693,dropout as a bayesian approximation representing model uncertainty in deep learning,2016-06-19,yarin gal;zoubin ghahramani
586034241,decoupled deep neural network for semi supervised semantic segmentation,2015-12-07,seunghoon hong;hyeonwoo noh;bohyung han
586437690,expectation particle belief propagation,2015-12-07,thibaut lienart;yee whye teh;arnaud doucet
592244745,a recurrent latent variable model for sequential data,2015-12-07,junyoung chung;kyle kastner;laurent dinh;kratarth goel;aaron c courville;yoshua bengio
602632650,visualising bag of words,2011-01-01,jasper r r uijlings;arnold w m smeulders
603830301,active learning by learning,2015-01-25,weining hsu;hsuantien lin
603908379,spatial transformer networks,2015-12-07,max jaderberg;karen simonyan;andrew zisserman;koray kavukcuoglu
612478963,lsd slam large scale direct monocular slam,2014-09-06,jakob engel;thomas schops;daniel cremers
630216852,fast and guaranteed tensor decomposition via sketching,2015-12-07,yining wang;hsiaoyu fish tung;alexander j smola;animashree anandkumar
639708223,faster r cnn towards real time object detection with region proposal networks,2017-06-01,shaoqing ren;kaiming he;ross b girshick;jian sun
647891877,fast two sample testing with analytic representations of probability measures,2015-12-07,kacper p chwialkowski;aaditya ramdas;dino sejdinovic;arthur gretton
648143168,deep generative image models using a laplacian pyramid of adversarial networks,2015-12-07,emily l denton;soumith chintala;arthur szlam;rob fergus
650350307,deep knowledge tracing,2015-12-07,chris piech;jonathan bassen;jonathan huang;surya ganguli;mehran sahami;leonidas j guibas;jascha sohldickstein
652269744,an embarrassingly simple approach to zero shot learning,2015-01-01,bernardino romeraparedes;philip h s torr
